"Plot Title: RLNF"
"#","Date Time, GMT-08:00","Temp, °F (LGR S/N: 20521510, SEN S/N: 20521510)","Event, units (LGR S/N: 20521510, SEN S/N: 20521510)","Coupler Attached (LGR S/N: 20521510)","Host Connected (LGR S/N: 20521510)","End Of File (LGR S/N: 20521510)"
1,12/31/19 11:30:00 AM,53.449,0.00,,,
2,12/31/19 11:45:00 AM,51.874,,,,
3,12/31/19 12:00:00 PM,52.050,,,,
4,12/31/19 12:15:00 PM,52.576,,,,
5,12/31/19 12:30:00 PM,52.925,,,,
6,12/31/19 12:45:00 PM,53.623,,,,
7,12/31/19 01:00:00 PM,54.147,,,,
8,12/31/19 01:15:00 PM,54.147,,,,
9,12/31/19 01:30:00 PM,53.798,,,,
10,12/31/19 01:45:00 PM,53.449,,,,
11,12/31/19 02:00:00 PM,53.798,,,,
12,12/31/19 02:15:00 PM,53.973,,,,
13,12/31/19 02:30:00 PM,54.495,,,,
14,12/31/19 02:45:00 PM,55.017,,,,
15,12/31/19 03:00:00 PM,55.537,,,,
16,12/31/19 03:15:00 PM,55.711,,,,
17,12/31/19 03:30:00 PM,55.189,,,,
18,12/31/19 03:45:00 PM,54.495,,,,
19,12/31/19 04:00:00 PM,55.884,,,,
20,12/31/19 04:15:00 PM,58.131,,,,
21,12/31/19 04:30:00 PM,55.537,,,,
22,12/31/19 04:45:00 PM,53.798,,,,
23,12/31/19 05:00:00 PM,52.925,,,,
24,12/31/19 05:15:00 PM,52.050,,,,
25,12/31/19 05:30:00 PM,51.346,,,,
26,12/31/19 05:45:00 PM,50.466,,,,
27,12/31/19 06:00:00 PM,49.937,,,,
28,12/31/19 06:15:00 PM,49.582,,,,
29,12/31/19 06:30:00 PM,49.228,,,,
30,12/31/19 06:45:00 PM,48.871,,,,
31,12/31/19 07:00:00 PM,48.517,,,,
32,12/31/19 07:15:00 PM,48.339,,,,
33,12/31/19 07:30:00 PM,48.160,,,,
34,12/31/19 07:45:00 PM,48.160,,,,
35,12/31/19 08:00:00 PM,47.982,,,,
36,12/31/19 08:15:00 PM,47.982,,,,
37,12/31/19 08:30:00 PM,47.802,,,,
38,12/31/19 08:45:00 PM,47.624,,,,
39,12/31/19 09:00:00 PM,47.624,,,,
40,12/31/19 09:15:00 PM,47.446,,,,
41,12/31/19 09:30:00 PM,47.446,,,,
42,12/31/19 09:45:00 PM,47.266,,,,
43,12/31/19 10:00:00 PM,46.908,,,,
44,12/31/19 10:15:00 PM,46.728,,,,
45,12/31/19 10:30:00 PM,46.728,,,,
